REG,DATE,FROM,TO,FLIGHT,DURATION,SDT,ADT,ETA,STATUS
PS-CNB,07 Feb 2022,Cuiaba (CGB),Juína (JIA),AD5596,—,8:05,8:14,10:20,Estimated departure 08:14
PS-CNB,06 Feb 2022,Juína (JIA),Cuiaba (CGB),AD5339,1:53,14:55,14:56,17:05,Landed 16:49
PS-CNB,06 Feb 2022,Aripuanã (AIR),Juína (JIA),AD5339,—,13:40,13:35,14:25,Estimated departure 13:35
PS-CNB,06 Feb 2022,Cuiaba (CGB),Aripuanã (AIR),AD5339,2:31,10:20,10:24,13:15,Landed 12:55
PS-CNB,05 Feb 2022,Juína (JIA),Cuiaba (CGB),AD5338,2:01,8:40,8:33,10:50,Landed 10:34
PS-CNB,05 Feb 2022,Aripuanã (AIR),Juína (JIA),AD5338,—,7:05,6:57,7:50,Estimated departure 06:57
PS-CNB,05 Feb 2022,Cuiaba (CGB),Aripuanã (AIR),AD5338,2:42,3:40,3:47,6:35,Landed 06:29
PS-CNB,04 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5341,1:23,20:50,19:57,21:35,Landed 21:21
PS-CNB,04 Feb 2022,Cuiaba (CGB),—,AD5502,1:28,17:29,17:29,22:57,Landed 22:57
PS-CNB,04 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,—,17:20,17:29,20:05,Estimated departure 17:29
PS-CNB,04 Feb 2022,Agua Boa (GGB),Cuiaba (CGB),AD5502,1:41,15:50,14:59,16:50,Landed 16:39
PS-CNB,04 Feb 2022,—,Agua Boa (GGB),AD5341,1:59,16:17,16:17,14:15,Landed 14:15
PS-CNB,04 Feb 2022,Agua Boa (GGB),—,AD5341,1:13,10:21,10:21,15:33,Landed 15:33
PS-CNB,04 Feb 2022,Cuiaba (CGB),Agua Boa (GGB),AD5341,1:45,8:01,8:01,9:46,Landed 09:46
PS-CNB,03 Feb 2022,Barra do Garcas (BPG),Cuiaba (CGB),AD5341,—,19:50,18:39,20:35,Estimated departure 18:39
PS-CNB,03 Feb 2022,—,Cuiaba (CGB),AD5341,1:26,22:39,22:39,20:05,Landed 20:05
PS-CNB,03 Feb 2022,Cuiaba (CGB),—,AD5593,1:23,16:34,16:34,21:57,Landed 21:57
PS-CNB,03 Feb 2022,Cuiaba (CGB),Barra do Garcas (BPG),AD5340,—,16:20,16:34,19:05,Estimated departure 16:34
PS-CNB,03 Feb 2022,Tangara Da Serra (TGQ),Cuiaba (CGB),AD5593,0:45,14:59,14:59,15:44,Landed 15:44
